rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
40,"[小小的愿望][The.Last.Wish.2019.WEB-DL.1080p.H265.AAC-DanNi][剧情,喜剧][中国大陆]",https://bt.byr.cn/download.php?id=292280,[BYRBT].The.Last.Wish.2019.WEB-DL.1080p.H265.AAC-DanNi.mp4.torrent,2,4,10天19时,3.26GB,251,0,932,发布者匿名
41,[欧美][黑暗物质三部曲 第一季][His.Dark.Materials.S01E01.Lyras.Jordan.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][..,https://bt.byr.cn/download.php?id=292248,[BYRBT].His.Dark.Materials.S01E01.Lyras.Jordan.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.mkv.torrent,1,0,10天22时,3.78GB,139,1,439,hxiaotian
42,"[2019-11-03][SBS Running Man E475][韩语][中文字幕][MKV,720P]",https://bt.byr.cn/download.php?id=292219,[BYRBT].[E475_20191103][KO_CN].mkv.torrent,2,0,11天16时,1.46GB,58,0,245,EternityHao
43,[欧美][早间新闻][The.Morning.Show.S01E01-E03.1080p.ATVP.WEB-DL.DD5.1.H.264-MZABI][S01E01-E03][MKV],https://bt.byr.cn/download.php?id=292208,[BYRBT].The.Morning.Show.S01.1080p.ATVP.WEB-DL.DD5.1.H.264-MZABI.torrent,1,0,11天19时,12.73GB,70,1,222,发布者匿名
44,[大陆][光荣时代][The.Glorious.Era.2019.E41-E46.WEB-DL.1080p.H265.AAC-DanNi][E41-E46][MP4],https://bt.byr.cn/download.php?id=292202,[BYRBT].The.Glorious.Era.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,2,2,11天19时,8.59GB,78,4,299,发布者匿名
45,[2019-11-02][大陆][奇葩说 第六季][I.Can.I.BB.2019.E02.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],https://bt.byr.cn/download.php?id=292166,[BYRBT].I.Can.I.BB.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,2,1,12天13时,2.62GB,255,4,1013,kfbyhyq
46,[连载][玄机科技][斗罗大陆][Douro Mainland][76][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=292120,[BYRBT].Douro.Mainland.E76.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,13天5时,537.70MB,129,0,710,发布者匿名
47,[2019-11-1][大陆][明星大侦探第五季][Who's.the.Murderer.2019.S05E00.WEB-DL.1080p.H264.AAC][国语][中文字幕],https://bt.byr.cn/download.php?id=292071,[BYRBT].Who's.the.Murderer.2019.S05E00.WEB-DL.1080p.H264.AAC.mp4.torrent,2,4,13天19时,1.85GB,230,0,1117,lovetou1
48,[欧美][堕落街传奇 第三季][The.Deuce.S03.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S03][MKV],https://bt.byr.cn/download.php?id=292044,[BYRBT].The.Deuce.S03.1080p.REPACK.AMZN.WEB-DL.DDP5.1.H.264-NTb.torrent,4,0,14天2时,34.90GB,66,4,262,发布者匿名
49,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][89][1080p][WEB][MP4][2016-03-10][国产],https://bt.byr.cn/download.php?id=292037,[BYRBT].Tian.Xing.Jiu.Ge.E89.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,1,14天4时,430.65MB,117,0,595,发布者匿名
50,[2019-10-31][大陆][奇葩说 第六季][I.Can.I.BB.2019.E01.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],https://bt.byr.cn/download.php?id=292026,[BYRBT].I.Can.I.BB.2019.E01.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2,0,14天16时,2.15GB,258,0,1076,kfbyhyq
51,[大陆][热血少年][Hot-Blooded.Youth.2019.E21-E32.WEB-DL.1080p.H265.AAC-DanNi][E21-E32][MP4],https://bt.byr.cn/download.php?id=292021,[BYRBT].Hot-Blooded.Youth.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,2,0,14天19时,17.67GB,66,3,273,发布者匿名
52,[2019-10-26][大陆][中央广播电视总台2019主持人大赛][CCTV1.Compere.Competition.2019.E01.WEB-DL.1080P.H264.AAC-..,https://bt.byr.cn/download.php?id=291949,[BYRBT].CCTV1.Compere.Competition.2019.E01.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2,4,15天19时,1.33GB,204,1,962,kfbyhyq
53,"[学习教程][VR开发纳米学位][Udacity - VR Developer (Nanodegree Program)][MP4,PNG,HTML][nd017 v3.0.0][2019]",https://bt.byr.cn/download.php?id=291946,[BYRBT].VR Developer v3.0.0.torrent,2,1,15天20时,4.60GB,52,0,254,发布者匿名
