rank,seed_name,torrent_name,size,price,score
61,[大陆][陈情令][The.Untamed.2019.Netflix.WEB-DL.1080p.x264.DDP-HDCTV][全50集][MKV],[BYRBT].The.Untamed.2019.Netflix.WEB-DL.1080p.x264.DDP-HDCTV.torrent,100.05GB,1,94.995982773954
62,[连载][OPFansMaplesnow][海贼王][One.Piece][908][720p][TVRip][MP4],[BYRBT].[OPFansMaplesnow][One_Piece][908][MP4].mp4.torrent,245.16MB,2,94.94953444134676
63,"[愤怒的小鸟大电影2][The.Angry.Birds.Movie.2.2019.720p.BluRay.x264-GECKOS][动画,冒险,喜剧][北美]",[BYRBT].The.Angry.Birds.Movie.2.2019.720p.BluRay.x264-GECKOS.torrent,3.28GB,2,95.18757285332913
64,[2019-10-25][大陆][演员请就位][Actors.Being.In.Position.2019.E03.1080p.WEB-DL.H264.AAC-TJUPT][国语][无需..,[BYRBT].Actors.Being.In.Position.2019.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,1.74GB,2,94.92858781189877
65,[连载][玄机科技][斗罗大陆][Douro Mainland][75][1080p][WEB][MP4][2018.01][国产],[BYRBT].Douro.Mainland.E75.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,537.60MB,2,95.33862024545017
66,[合集][BBC][水世界][Water Life][全26集][1080p][Blu-ray][M2TS][HDCLUB][自然],[BYRBT].Water.Life.2009.BluRay.3D.1080p.DTS-HD.5.1.H.264-HDCLUB.torrent,171.01GB,3,98.02249803380104
67,[欧美][十诫][Dekalog.1989.REPACK.720p.BluRay.AAC.1.0.x264-ZQ][全10集][MKV],[BYRBT].Dekalog.1989.REPACK.720p.BluRay.AAC.1.0.x264-ZQ.torrent,53.88GB,1,94.62860761794424
68,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][88][1080p][WEB][MP4][2016-03-10][国产],[BYRBT].Tian.Xing.Jiu.Ge.E88.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,443.23MB,2,95.2498705447518
69,[合集][历史频道][宇宙][The Universe][S04][1080p][Blu-ray][M2TS][白自在][科学],[BYRBT].宇宙系列第4季.torrent,118.57GB,3,96.72499545393394
70,[Windows][办公软件][Mathtype][7.4.2.480][官方简体][安装包],[BYRBT].mathtype.zip.torrent,40.78MB,2,96.84131164159699
71,"[我们这样的人,天上掉下个姐姐,平凡人生(台)][People.Like.Us.2012.720p.BluRay.x264-O2STK][剧情][北美]",[BYRBT].People.Like.Us.2012.720p.BluRay.x264-O2STK.mkv.torrent,10.03GB,2,95.09356327201286
72,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][01-02][1080p][WEB][MP4][2019.10][国产],[BYRBT].Scissor.Seven.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,654.18MB,2,91.56548861072712
73,"[诛仙 Ⅰ][Jade.Dynasty.2019.1080p.WEB-DL.H264.AAC-NM][爱情,奇幻,古装][华语]",[BYRBT].Jade.Dynasty.2019.1080p.WEB-DL.H264.AAC-NM.mp4.torrent,3.61GB,2,95.77405418333176
74,[PC][英雄联盟体验服][无限火力开启！！！][RPG][20191022][官方简体][安装包],[BYRBT].LOL_V3.4.5.9_T_FULL.torrent,9.81GB,2,94.67521386286714
75,[欧美][守望者 第一季][Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01E01][MKV],[BYRBT].Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.mkv.torrent,3.72GB,1,95.35309953041475
76,[欧美][守望者][Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.720p.AMZN.WEB-DL.DDP5.1.H.26..,[BYRBT].Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.720p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.mkv.torrent,1.64GB,1,94.97891530769098
77,[大陆][东宫][Princess in The East Palace UNCUT S01 1080p AMZN WEB-DL DDP2 0 H264-Ao][全55集][MKV],[BYRBT].东宫.Princess.in.The.East.Palace.UNCUT.S01.1080p.AMZN.WEB-DL.DDP2.0.H264-Ao.torrent,127.99GB,1,94.5224791912325
78,"[曲面,断崖][Curve.2016.1080p.WEB-DL.AAC.x264][惊悚,恐怖,短片][澳大利亚]",[BYRBT].Curve.2016.1080p.WEB-DL.AAC.x264.mp4.torrent,250.07MB,2,95.25462498056868
